    Time(yr)   SMco2_tot(kg)   AQco2_tot(kg)
0.000000E+00  0.000000E+00  0.000000E+00
3.168879E-08  0.000000E+00  2.154010E+01
9.506637E-08  0.000000E+00  6.376540E+01
2.218215E-07  0.000000E+00  1.409901E+02
4.753319E-07  0.000000E+00  2.939751E+02
9.823525E-07  0.000000E+00  4.636983E+02
1.489373E-06  0.000000E+00  4.861870E+02
2.503414E-06  0.000000E+00  7.690934E+02
3.517456E-06  0.000000E+00  1.381973E+03
5.545538E-06  0.000000E+00  2.005678E+03
7.573621E-06  0.000000E+00  2.147947E+03
1.162979E-05  0.000000E+00  3.388251E+03
1.568595E-05  0.000000E+00  5.092866E+03
2.379828E-05  0.000000E+00  5.896899E+03
3.191061E-05  0.000000E+00  8.048284E+03
4.002294E-05  0.000000E+00  1.116785E+04
5.624760E-05  0.000000E+00  1.298496E+04
7.247226E-05  0.000000E+00  1.699564E+04
8.869693E-05  0.000000E+00  2.231952E+04
1.049216E-04  0.000000E+00  2.447912E+04
1.211462E-04  0.000000E+00  2.622580E+04
2.848185E-02  0.000000E+00  5.224687E+06
2.369363E-01  0.000000E+00  4.139879E+07
1.107723E+00  0.000000E+00  1.475694E+08
2.380852E+00  0.000000E+00  2.945227E+08
3.732696E+00  0.000000E+00  4.502047E+08
5.101652E+00  0.000000E+00  6.148474E+08
6.470607E+00  0.000000E+00  7.671449E+08
7.822451E+00  0.000000E+00  9.381607E+08
9.191407E+00  0.000000E+00  1.094990E+09
