# Block Model base.csv
#   exported from Leapfrog Geo
#   encoding: UTF-8
#   rotation type: Leapfrog
#   azimuth: 0 degrees (rotate clockwise around the Z axis when looking down)
#   dip: 0 degrees (then rotate around the X' axis down from the horizontal plane)
#   pitch: 0 degrees (then rotate clockwise around the Z'' axis when looking down)
#   block size: 1000 1000 1000
#   size in blocks: 79 58 4 = 18328
#   minimum centroid: 286608.2957 5068732.802452875 -1600
#   maximum centroid: 364608.2957 5125732.802452875 1400
#   minimum corner: 286108.2957 5068232.802452875 -2100
#   maximum corner: 365108.2957 5126232.802452875 1900
Id,X,Y,Z,dX,dY,dZ,Tough react test on 12/3/2025
0,286608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
1,287608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
2,288608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
3,289608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
4,290608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
5,291608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
6,292608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
7,293608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
8,294608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
9,295608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
10,296608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
11,297608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
12,298608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
13,299608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
14,300608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
15,301608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
16,302608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
17,303608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
18,304608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
19,305608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
20,306608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
21,307608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
22,308608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
23,309608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
24,310608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
25,311608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
26,312608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
27,313608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
28,314608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
29,315608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
30,316608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
31,317608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
32,318608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
33,319608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
34,320608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
35,321608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
36,322608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
37,323608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
38,324608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
39,325608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
40,326608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
41,327608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
42,328608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
43,329608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
44,330608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
45,331608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
46,332608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
47,333608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
48,334608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
49,335608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
50,336608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
51,337608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
52,338608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
53,339608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
54,340608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
55,341608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
56,342608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
57,343608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
58,344608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
59,345608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
60,346608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
61,347608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
62,348608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
63,349608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
64,350608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
65,351608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
66,352608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
67,353608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
68,354608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
69,355608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
70,356608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
71,357608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
72,358608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
73,359608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
74,360608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
75,361608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
76,362608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
77,363608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
78,364608.2957,5068732.802452875,-1600,1000,1000,1000,OUT
79,286608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
80,287608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
81,288608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
82,289608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
83,290608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
84,291608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
85,292608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
86,293608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
87,294608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
88,295608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
89,296608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
90,297608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
91,298608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
92,299608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
93,300608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
94,301608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
95,302608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
96,303608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
97,304608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
98,305608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
99,306608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
100,307608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
101,308608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
102,309608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
103,310608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
104,311608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
105,312608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
106,313608.2957,5069732.802452875,-1600,1000,1000,1000,OUT
